Age Total Male Female
0  1,078 553 525
1  1,092 560 532
2  1,084 556 528
3  1,072 550 522
4  1,050 536 513
5  1,088 557 532
6  1,111 570 542
7  1,145 587 558
8  1,160 595 565
9  1,180 606 574
10 1,179 604 574
11 1,193 611 582
12 1,188 608 580
13 1,183 606 577
14 1,206 618 589
15 1,208 619 589
16 1,190 610 580
17 1,212 622 590
18 1,216 622 594
19 1,253 640 614
20 1,302 665 637
21 1,347 690 657
22 1,388 712 676
23 1,414 729 684
24 1,463 754 709
25 1,490 765 725
26 1,494 766 728
27 1,478 752 725
28 1,490 760 731
29 1,551 789 762
30 1,589 808 781
31 1,653 838 815
32 1,698 862 836
33 1,783 905 878
34 1,869 948 920
35 1,966 998 969
36 2,002 1,013 989
37 1,964 995 969
38 1,918 970 948
39 1,864 942 922
40 1,835 925 910
41 1,800 908 893
42 1,793 905 889
43 1,407 708 700
44 1,746 879 867
45 1,636 824 812
46 1,593 801 792
47 1,541 774 767
48 1,522 764 757
49 1,534 768 765
50 1,564 783 782
51 1,521 759 762
52 1,481 739 742
53 1,560 778 782
54 1,613 804 809
55 1,614 803 811
56 1,717 851 866
57 1,812 896 916
58 1,922 949 973
59 2,068 1,018 1,050
60 2,266 1,115 1,151
61 2,247 1,103 1,144
62 2,131 1,044 1,087
63 1,335 650 685
64 1,434 692 742
65 1,747 839 908
66 1,695 813 882
67 1,735 829 906
68 1,682 801 881
69 1,526 723 803
70 1,320 622 698
71 1,402 653 748
72 1,429 663 766
73 1,417 651 766
74 1,342 609 734
75 1,251 560 692
76 1,233 543 689
77 1,181 514 667
78 1,115 477 638
79 1,032 433 599
80 978  402 576
81 914  368 546
82 847  332 515
83 794  300 494
84 703  254 450
85 598  204 394
86 522  162 360
87 457  134 323
88 393  110 283
89 362  98 264
90 256  67 188
91 228  58 170
92 193  47 146
93 163  38 125
94 129  29 101
95 106  22 84
96 80   16 64
97 59   11 48
98 40   7 33
99 29   5 24
100 48   7 41
